taluk,district,latitude,longitude,year,ndvi_mean,ndvi_std,ndvi_min,ndvi_max,scene_count,platform,data_source
Guledgudda,Bagalkote,16.039667,75.746736,2021,0.4852,0.1101,0.4852,0.4852,1,landsat-9,Landsat C2 L2 (Planetary Computer)
Guledgudda,Bagalkote,16.039667,75.746736,2022,0.4076,0.1104,0.4076,0.4076,1,landsat-8,Landsat C2 L2 (Planetary Computer)
Guledgudda,Bagalkote,16.039667,75.746736,2023,0.3839,0.1309,0.3839,0.3839,1,landsat-8,Landsat C2 L2 (Planetary Computer)
Ilkal,Bagalkote,15.993176,76.129583,2019,0.5443,0.2063,0.5443,0.5443,1,landsat-8,Landsat C2 L2 (Planetary Computer)
Ilkal,Bagalkote,15.993176,76.129583,2020,0.4808,0.0993,0.4808,0.4808,1,landsat-7,Landsat C2 L2 (Planetary Computer)
Ilkal,Bagalkote,15.993176,76.129583,2021,0.5499,0.1188,0.5499,0.5499,1,landsat-9,Landsat C2 L2 (Planetary Computer)
Ilkal,Bagalkote,15.993176,76.129583,2022,0.4989,0.1084,0.4989,0.4989,1,landsat-8,Landsat C2 L2 (Planetary Computer)
Ilkal,Bagalkote,15.993176,76.129583,2023,0.4233,0.107,0.4233,0.4233,1,landsat-8,Landsat C2 L2 (Planetary Computer)
Rabakavi-Banahatti,Bagalkote,16.444173,75.131106,2019,0.6736,0.0933,0.6736,0.6736,1,landsat-8,Landsat C2 L2 (Planetary Computer)
Rabakavi-Banahatti,Bagalkote,16.444173,75.131106,2020,0.5708,0.1041,0.5708,0.5708,1,landsat-8,Landsat C2 L2 (Planetary Computer)
Rabakavi-Banahatti,Bagalkote,16.444173,75.131106,2021,0.6501,0.1094,0.6501,0.6501,1,landsat-9,Landsat C2 L2 (Planetary Computer)
Rabakavi-Banahatti,Bagalkote,16.444173,75.131106,2022,0.6524,0.083,0.6524,0.6524,1,landsat-9,Landsat C2 L2 (Planetary Computer)
Rabakavi-Banahatti,Bagalkote,16.444173,75.131106,2023,0.6101,0.1409,0.6101,0.6101,1,landsat-9,Landsat C2 L2 (Planetary Computer)
Vijayapura,Vijayapura,16.864906,75.813471,2019,0.2296,0.0839,0.2296,0.2296,1,landsat-8,Landsat C2 L2 (Planetary Computer)
