point_id,taluk,latitude,longitude,clay_pct,sand_pct,silt_pct,pH,nitrogen_g_per_kg,organic_carbon_dg_per_kg,bulk_density_cg_per_cm3,api_source
K.R_002,K.R.Nagar,12.437604470969623,76.35601811447712,34.6,39.6,25.8,7.0,1.85,226.0,137.0,ISRIC SoilGrids v2.0
K.R_003,K.R.Nagar,12.484532477419906,76.4056462473289,,,,,,,,ISRIC SoilGrids v2.0
K.R_004,K.R.Nagar,12.512381955600208,76.34394023797282,35.2,38.9,26.0,6.8,1.97,243.0,136.0,ISRIC SoilGrids v2.0
K.R_005,K.R.Nagar,12.580942495773073,76.35402820411468,36.7,39.7,23.6,6.9,2.04,282.0,138.0,ISRIC SoilGrids v2.0
K.R_006,K.R.Nagar,12.522275740688933,76.41071283751519,,,,,,,,ISRIC SoilGrids v2.0
K.R_007,K.R.Nagar,12.522673469113247,76.41805157522766,32.2,38.2,29.6,7.3,1.72,460.0,129.0,ISRIC SoilGrids v2.0
K.R_008,K.R.Nagar,12.563822329436187,76.38898096304538,38.4,36.7,25.0,7.1,2.17,247.0,138.0,ISRIC SoilGrids v2.0
K.R_009,K.R.Nagar,12.510794727936636,76.3724901760327,34.5,39.4,26.1,6.9,2.1,217.0,136.0,ISRIC SoilGrids v2.0
KAN_000,Kanakpura,12.478729834105817,77.2900750867582,28.6,46.7,24.7,6.6,1.65,203.0,133.0,ISRIC SoilGrids v2.0
KAN_001,Kanakpura,12.306424357390483,77.46905958590592,30.7,40.0,29.3,6.6,1.99,259.0,135.0,ISRIC SoilGrids v2.0
KAN_002,Kanakpura,12.331755341243271,77.38702189381198,29.4,40.9,29.7,6.7,2.84,299.0,125.0,ISRIC SoilGrids v2.0
KAN_003,Kanakpura,12.508079859859745,77.29574861198951,30.2,46.1,23.8,6.6,1.64,230.0,131.0,ISRIC SoilGrids v2.0
KAN_004,Kanakpura,12.498446226731055,77.47555834845917,30.2,42.0,27.8,6.7,1.79,205.0,134.0,ISRIC SoilGrids v2.0
KAN_005,Kanakpura,12.366183719222999,77.38519442522852,26.8,43.7,29.5,6.7,2.08,286.0,123.0,ISRIC SoilGrids v2.0
KAN_006,Kanakpura,12.39690638267604,77.41519346469522,30.7,43.8,25.5,6.7,2.01,236.0,135.0,ISRIC SoilGrids v2.0
KAN_007,Kanakpura,12.586726131343097,77.34997572069358,28.4,48.0,23.5,6.5,1.66,220.0,135.0,ISRIC SoilGrids v2.0
KAN_008,Kanakpura,12.471770834192121,77.32629379295754,28.9,43.6,27.5,6.8,1.46,187.0,141.0,ISRIC SoilGrids v2.0
KAN_009,Kanakpura,12.570766748185308,77.33811128967716,30.9,45.7,23.4,6.6,1.57,190.0,137.0,ISRIC SoilGrids v2.0
HAR_000,Harohalli,12.638176651348724,77.42308052358472,32.5,40.9,26.7,6.5,1.75,215.0,137.0,ISRIC SoilGrids v2.0
HAR_001,Harohalli,12.68642259883908,77.49904006244536,27.9,51.0,21.1,6.6,1.57,209.0,137.0,ISRIC SoilGrids v2.0
HAR_002,Harohalli,12.711817548978127,77.50816468402343,27.5,51.5,21.0,6.5,1.88,212.0,136.0,ISRIC SoilGrids v2.0
HAR_003,Harohalli,12.664324780990214,77.38456940989572,28.2,47.6,24.2,6.6,2.03,299.0,130.0,ISRIC SoilGrids v2.0
